Intent,ANSWERS
1,The links are: #@www.mahacet.org #@http://www.dtemaharashtra.gov.in/index.html  #@http://cetcell.mahacet.org/ #@https://mhtcet2020.mahaonline.gov.in/Content/PDF/Advt/MHT-CET_Engg_Tech_Pharmacy_Pharm_D.pdf
2,The detailed schedule of the admission procedure is available on #@http://www.dtemaharashtra.gov.in/index.html as FE notification.
3,Yes.You will be provided all necessary guidance through Admission Cell.
4,"We do not have any agents through whom you can apply. Students/Parents should contact us directly for any information/admission. Our admission process is very transparent. We follow all the guidelines of DTE. We do not charge any Capitation fees. For Institute quota also fees is same as other students.
"
5,"YES but, they should have a valid score in MH – CET / JEE (Main) for that Year and should pass XIIth examination in English with minimum 50% marks in Physics, Chemistry (could be replaced with permissible technical vocational subject) and Mathematics.
"
6,"A format will be provided (Form O) in the DTE/CET Cell Information Brochure and the duly filled format to be submitted at the time of form submission. However, the duly filled format to be submitted in Rs.100/- stamp paper and duly notarised.
"
7,"You can apply as Open candidate through Centralised Admission Process (Conducted by the Maharashtra State CET Cell)  or under Management Quota through the respective institute.
"
8,"Minority Institution means seats earmarked for the Minority Community students from within the State, belonging to the Minority Community either Linguistic (based on the mother tongue) or Religious to which the institution belongs. Our institute belongs to Tamil - Linguistic Minority category. This provision is made as per the Constitution of India.
"
9,"The application process for engineering admission is conducted by State Common Entrance Test Cell, Govt. of Maharashtra. It is MANDATORY for the candidate to REGISTER and ENROL on the website  for becoming part of the Central Admission Process(CAP)."
10,"No, you need to apply only after the result of XII and CET/JEE result."
11,"Two ways: #$Seats allotted by DTE through online CAP process. #$Management quota through merit basis prepared by the institute. We do not accept any Capitation Fees.
"
12,The DTE code of SIES Graduate School of Technology 3211.
13,"A Student applying for admission should carry the original and 2 sets of photocopies of all his testimonials. The documents required are:#$Adhaar Card #$10ᵗʰ Marksheet #$12ᵗʰ Marksheet #$Proof of Entrance Exam #$5 Passport size photographs #$Proof of Gap years (if any)#$Domicile Certificate #$Birth Certificate #$Minority Language Certificate
"
14,"Yes. Your admission is confirmed only when you pay the fees as applicable and submit all the required documents in original."
15,"You need to register with DTE first and then fill college application form. You can do it online also by purchasing admission brochure to register "
16,"Admission through Institute / Management quota in SIES is purely on the basis of MERIT. All the candidates applying under quota will be eligible  for participating in admission process. But registration with DTE is mandatory. A separate ( Different from DTE)  merit list will be prepared and displayed and the candidates will be called for counselling round/s. Rules and regulations are same as of DTE.
"
17,"No. Merely applying doesn’t ensure admission in the institute. Admission depends on the merit list and the top candidates confirming/accepting the seat in the branch of their choice.
"
18,"YES. Registration and Enrolment on the web portal of State Common Entrance Test Cell, Govt. of Maharashtra is MANDATORY."
19,"#$Electronics & Telecommunication Engg :24#$Computer Engineering :18#$Information Technology :12#$Printing & Packaging Tech. :12#$Mechanical Engineering :12
"
20,"Total Intake is 390 (EXTC : 120, CE: 90, IT : 60, PPT : 60 & Mech. Engg.:60)"
21,"#$Electronics & Telecommunication Engg :120#$Computer Engineering :90#$Information Technology :60#$Printing & Packaging Tech. :60#$Mechanical Engineering :60
"
22,"#$Electronics & Telecommunication Engg :35#$Computer Engineering :26#$Information Technology :17#$Printing & Packaging Tech. :17#$Mechanical Engineering :17
"
23,"#$Electronics & Telecommunication Engg :61#$Computer Engineering :46#$Information Technology :31#$Printing & Packaging Tech. :31#$Mechanical Engineering :31
"
24,"Candidates intending to apply for B. E. should pass XIIth examination in English with minimum 50% marks in Physics, Chemistry (could be replaced with permissible technical vocational subject) and Mathematics. Further, the candidate is also required to have a valid score in MHT – CET / JEE (Main) for that Year."
25,"The cut off varies from branch to branch. Also, the cut off for different quota (e.g. minority quota, DTE open candidate home university quota, other university quota, Institute level quota, TFWS quota, J&K quota etc) is different. So this query can be answered during personal interaction. Still for the reference the round-wise cut off list is available on the DTE website."
26,"Campus is approximately 2 km away from the Nerul station. Anyone can easily walk down. Also shared autos are available 24x7.
"
27,"College timings are 9 am to 5 pm. On Saturday, regular lectures are not there but most of the activities are conducted on Saturday. Please do not enrol your ward for any tuitions outside. Our faculty members are very experienced to provide extra guidance to students."
28,"There are five branches:#$Computer Engineering#$Information Technology#$Mechanical Engineering#$Electronics and Telecommunication
#$Printing and Packaging Technology
"
